date,vwretd,ewretd,sprtrn
2016-11-03,-0.00394,-0.007025,-0.004423
2016-11-04,-0.00124,0.000766,-0.001666
2016-11-07,0.020927,0.016052,0.022224
2016-11-08,0.003884,0.00283,0.003772
2016-11-09,0.012048,0.015719,0.011077
2016-11-10,0.001979,0.006015,0.001951
2016-11-11,0.000261,0.00881,-0.001398
2016-11-14,0.002384,0.005926,-0.000116
2016-11-15,0.007902,0.007643,0.007481
2016-11-16,-0.001517,0.001919,-0.001582
2016-11-17,0.004607,0.003058,0.004676
2016-11-18,-0.001358,0.001402,-0.002387
2016-11-21,0.007769,0.006572,0.007461
2016-11-22,0.003038,0.004434,0.002165
2016-11-23,0.000943,0.002052,0.000808
2016-11-25,0.003636,0.004302,0.003914
2016-11-28,-0.005935,-0.006371,-0.005254
2016-11-29,0.00096,-0.001862,0.001335
2016-11-30,-0.001561,-0.000985,-0.002653
2016-12-01,-0.004207,-0.00585,-0.003516
2016-12-02,0.000701,0.001674,0.000397
2016-12-05,0.007299,0.010742,0.005821
2016-12-06,0.004758,0.007267,0.003411
2016-12-07,0.012388,0.007856,0.013163
2016-12-08,0.003744,0.008256,0.002159
2016-12-09,0.003907,0.002253,0.005939
2016-12-12,-0.002453,-0.005935,-0.001137
2016-12-13,0.005763,0.001855,0.00654
2016-12-14,-0.009619,-0.01084,-0.008117
2016-12-15,0.003588,0.002157,0.003883
2016-12-16,-0.001159,0.001436,-0.001751
2016-12-19,0.002094,0.002677,0.001975
2016-12-20,0.00431,0.004266,0.003638
2016-12-21,-0.002494,-0.002134,-0.002457
2016-12-22,-0.002734,-0.004958,-0.001863
2016-12-23,0.001844,0.0049,0.001252
2016-12-27,0.002518,0.003182,0.002248
2016-12-28,-0.007978,-0.007213,-0.008357
2016-12-29,0.000587,0.001377,-0.000293
2016-12-30,-0.004036,-0.001826,-0.004637
2017-01-03,0.008205,0.009122,0.008487
2017-01-04,0.008618,0.013134,0.005722
2017-01-05,-0.000945,-0.000892,-0.000771
2017-01-06,0.00231,-0.001362,0.003517
2017-01-09,-0.003925,-0.003245,-0.003549
2017-01-10,0.001311,0.006083,0.0
2017-01-11,0.003227,0.002873,0.00283
2017-01-12,-0.002536,-0.003441,-0.002145
2017-01-13,0.002819,0.005344,0.00185
2017-01-17,-0.003693,-0.005103,-0.002968
2017-01-18,0.001415,0.000255,0.001764
2017-01-19,-0.003889,-0.005072,-0.003609
2017-01-20,0.003625,0.003886,0.003366
2017-01-23,-0.001921,-0.001928,-0.00269
2017-01-24,0.008375,0.00953,0.006565
2017-01-25,0.008078,0.007647,0.008026
2017-01-26,-0.00115,-0.002519,-0.000735
2017-01-27,-0.001599,-0.001404,-0.000866
2017-01-30,-0.007057,-0.009656,-0.00601
2017-01-31,0.000839,0.003957,-0.00089
2017-02-01,0.000282,0.001042,0.000298
2017-02-02,0.000599,0.000583,0.00057
2017-02-03,0.007801,0.008413,0.007265
2017-02-06,-0.002713,-0.003058,-0.002115
2017-02-07,-0.000541,-0.002202,0.000227
2017-02-08,0.001224,3e-06,0.000693
2017-02-09,0.00649,0.007785,0.005752
2017-02-10,0.004103,0.00633,0.003566
2017-02-13,0.004652,0.002897,0.005246
2017-02-14,0.003882,0.002458,0.004007
2017-02-15,0.004785,0.003714,0.004992
2017-02-16,-0.001251,-0.002214,-0.000864
2017-02-17,0.0019,0.001432,0.001679
2017-02-21,0.005811,0.004475,0.006048
2017-02-22,-0.001741,-0.00401,-0.001082
2017-02-23,-0.000909,-0.003617,0.000419
2017-02-24,0.00045,-0.001555,0.001493
2017-02-27,0.001995,0.005565,0.001018
2017-02-28,-0.004647,-0.009037,-0.002578
2017-03-01,0.013366,0.011195,0.013674
2017-03-02,-0.006862,-0.008063,-0.00586
2017-03-03,0.000944,4.6e-05,0.000504
2017-03-06,-0.003808,-0.00627,-0.003277
2017-03-07,-0.003455,-0.004523,-0.002913
2017-03-08,-0.003233,-0.004182,-0.002284
2017-03-09,-0.000246,-0.003409,0.0008
2017-03-10,0.003446,0.003374,0.003269
2017-03-13,0.001665,0.005047,0.000367
2017-03-14,-0.00418,-0.006412,-0.003379
2017-03-15,0.010125,0.011914,0.008375
2017-03-16,-0.000614,0.003401,-0.001627
2017-03-17,-0.000812,0.002295,-0.001314
2017-03-20,-0.002332,-0.002129,-0.00201
2017-03-21,-0.013602,-0.016334,-0.012408
2017-03-22,0.001795,-0.002022,0.00189
2017-03-23,0.000156,0.004109,-0.00106
2017-03-24,-0.000317,0.00138,-0.000844
2017-03-27,-0.000361,0.002729,-0.00102
2017-03-28,0.006893,0.005633,0.007251
2017-03-29,0.002268,0.005747,0.001085
2017-03-30,0.002599,0.002824,0.002935
2017-03-31,-0.001095,0.002222,-0.002255
2017-04-03,-0.002624,-0.005973,-0.001642
2017-04-04,0.000621,-0.002166,0.00056
2017-04-05,-0.004134,-0.006667,-0.003055
2017-04-06,0.003506,0.006073,0.001929
2017-04-07,-0.000717,7.2e-05,-0.000827
2017-04-10,0.001468,0.002432,0.000688
2017-04-11,-0.000127,0.002987,-0.001434
2017-04-12,-0.004575,-0.005825,-0.00376
2017-04-13,-0.007191,-0.006326,-0.006815
2017-04-17,0.008654,0.006076,0.008613
2017-04-18,-0.002508,-0.002669,-0.002903
2017-04-19,-0.001333,0.000344,-0.001716
2017-04-20,0.007669,0.007076,0.007557
2017-04-21,-0.002843,-0.002115,-0.003035
2017-04-24,0.010754,0.007824,0.01084
2017-04-25,0.00596,0.006072,0.006091
2017-04-26,-0.000105,0.00381,-0.000486
2017-04-27,-4e-05,-0.001777,0.000553
2017-04-28,-0.002611,-0.004225,-0.001913
2017-05-01,0.002001,0.001152,0.001732
2017-05-02,0.000255,-0.002009,0.001189
2017-05-03,-0.002573,-0.004587,-0.001271
2017-05-04,-0.000777,-0.004697,0.000582
2017-05-05,0.005792,0.006221,0.004089
2017-05-08,-0.00082,-0.001231,3.8e-05
2017-05-09,-0.000984,0.000561,-0.001025
2017-05-10,0.0026,0.003962,0.001131
2017-05-11,-0.002715,-0.003107,-0.002163
2017-05-12,-0.001539,-0.002252,-0.001478
2017-05-15,0.005603,0.00576,0.004776
2017-05-16,-0.000384,-0.00123,-0.000687
2017-05-17,-0.018102,-0.016886,-0.018178
2017-05-18,0.003369,-8.1e-05,0.003687
2017-05-19,0.007577,0.008121,0.006768
2017-05-22,0.005394,0.004161,0.00516
2017-05-23,0.001526,0.000542,0.001838
2017-05-24,0.002402,0.000711,0.002489
2017-05-25,0.003248,0.00029,0.004442
2017-05-26,0.00031,0.000124,0.000311
2017-05-30,-0.002267,-0.005404,-0.001205
2017-05-31,-0.000326,-0.00071,-0.00046
2017-06-01,0.009052,0.010905,0.007571
2017-06-02,0.003486,0.004465,0.003708
2017-06-05,-0.001819,-0.004036,-0.001218
